Ticker;Link;Preço;Dividendo;Dividend Yield;P/VP;Data
TORD11;https://fundsexplorer.com.br/funds/TORD11;10.89;0.09;0.88;1.09;2020/10/22
VCJR11;https://fundsexplorer.com.br/funds/VCJR11;102.25;0.70;0.69;1.02;2020/10/22
NCHB11;https://fundsexplorer.com.br/funds/NCHB11;94.00;0.32;0.34;1.04;2020/10/22
RBRF11;https://fundsexplorer.com.br/funds/RBRF11;97.85;0.75;0.77;1.05;2020/10/22
VIFI11;https://fundsexplorer.com.br/funds/VIFI11;96.89;0.65;0.67;0.95;2020/10/22
VLOL11;https://fundsexplorer.com.br/funds/VLOL11;105.09;0.47;0.45;1.15;2020/10/22
WPLZ11;https://fundsexplorer.com.br/funds/WPLZ11;79.75;0.05;0.06;0.86;2020/10/22
RCRB11;https://fundsexplorer.com.br/funds/RCRB11;173.80;0.85;0.48;0.88;2020/10/22
VTLT11;https://fundsexplorer.com.br/funds/VTLT11;118.80;0.72;0.61;1.17;2020/10/22
XPSF11;https://fundsexplorer.com.br/funds/XPSF11;96.49;0.70;0.73;0.96;2020/10/22
DOMC11;https://fundsexplorer.com.br/funds/DOMC11;439.00;0.00;0.00;0.41;2020/10/22
FATN11;https://fundsexplorer.com.br/funds/FATN11;100.20;0.40;0.61;1.00;2020/10/22
OUJP11;https://fundsexplorer.com.br/funds/OUJP11;102.36;0.44;0.43;1.00;2020/10/22
XPLG11;https://fundsexplorer.com.br/funds/XPLG11;135.00;0.57;0.43;1.23;2020/10/22
XTED11;https://fundsexplorer.com.br/funds/XTED11;7.29;0.00;0.00;0.50;2020/10/22
